"This is the ""Sociological Spine"" that the University of Szczecin adds to the technical curriculum.",Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
"The ""Blue Values"" Definition",,,
,,,
"Before entering the matrix, these are the core values derived from the texts that guide the sociological interventions:",,,
,"Intergenerational Equity: Protecting the ocean for future ""People of the Sea.""",,
,Procedural Justice: Fair inclusion in decision-making (not just consultation).,,
,"Solidarity: The port/coast as a shared community asset, not just a corporate zone.",,
,"Stewardship: Moving from ""extracting resources"" to ""caretaking ecosystems.""",,
,Trans-corporeality: Acknowledging that human health and ocean health are biologically linked (Marinisation).,,
,,,
Cluster 1: Living Resources & Biotechnology (The Bio-Economy),,,
Focus: From Extraction to Stewardship,,,
,,,
BlueComp Dimension,Technical Skill (Existing),Sociological Concept / Theory (Szczecin Add),Blue Value & Justification
A.2 Systemic Thinking,Stock-prey relationships,"Theory: Marinisation (Physiological)

Understanding how marine bio-compounds affect human health (e.g., in food/pharma).","Value: Trans-corporeality

Justification: Students must understand we are not separate from the ocean; what we put in (pollution) returns to us (in food)."
D.4 Ethics & Governance,Nagoya Protocol compliance,"Concept: Benefit Sharing / Blue Justice

Ensuring local communities profit from genetic data extraction.","Value: Equity

Justification: Prevents ""Biopiracy."" Technical access to genes is useless if legal/ethical theft leads to international bans."
A.1 Ocean Literacy,Sustainable seafood info,"Theory: Occupational Identification

Transitioning the ""Fisher"" identity to ""Ocean Farmer/Guardian.""","Value: Dignity

Justification: Fishers often resist regulation because it threatens their identity, not just income. We teach how to evolve that identity."
,,,
"Cluster 2: Energy, Resources & Desalination (The Hard Economy)",,,
"Focus: Space, Conflict, and Co-existence",,,
,,,
BlueComp Dimension,Technical Skill (Existing),Sociological Concept / Theory (Szczecin Add),Blue Value & Justification
A.3 Regulations (MSP),Zoning & De-confliction,"Theory: Maritime Territorial Community

Treating the sea as a ""lived space"" (Territory) rather than empty ""space"" to be zoned.","Value: Recognition

Justification: Engineers see coordinates; locals see heritage. Ignoring the ""Territorial"" aspect of the sea causes NIMBYism and protests."
C.4 Ecosystem Management,Environmental Impact Assessment,"Theory: The Marine Factor (Agency)

Recognizing the ocean’s capacity to destroy infrastructure if limits are crossed.","Value: Precautionary Principle

Justification: Deep-sea mining risks are unknown. Sociology teaches respect for the ""Agency of Nature"" (Marinisation) as a hard limit."
D.4 Participatory Gov,Stakeholder Consultation,"Concept: Social License to Operate (SLO)

Moving from ""Permitting"" (Legal) to ""Acceptance"" (Social).","Value: Procedural Justice

Justification: A legal permit does not stop sabotage or litigation. SLO is the ""soft"" permit granted by the community."
,,,
"Cluster 3: Transport, Ports & Infrastructure (The Blue Spine)",,,
Focus: Re-connecting the City and the Sea,,,
,,,
BlueComp Dimension,Technical Skill (Existing),Sociological Concept / Theory (Szczecin Add),Blue Value & Justification
A.2 Systemic Thinking,Port-Hinterland Logistics,"Theory: De-maritimisation

Diagnosing the cultural/physical separation of the city from its port due to containerization.","Value: Cultural Heritage

Justification: A port that is culturally invisible to its city loses political support. We teach how to reverse this alienation."
D.3 Stakeholder Engagement,Port Community Systems (PCS),"Concept: Re-maritimisation

Active policies to reintegrate port culture into civic life (e.g., open waterfronts, festivals).","Value: Solidarity

Justification: Rebuilding the ""Maritime Community"" ensures the port is seen as a provider of identity, not just traffic and pollution."
C.2 Circular Economy,Ship Recycling / Waste,"Concept: Industrial Ecology as Social Contract

Ports as hubs for circular living, not just transit.","Value: Responsibility

Justification: The port takes responsibility for the lifecycle of ships, protecting the ""Global South"" from toxic scrapping (Blue Justice)."
,,,
"Cluster 4: Tourism, Defence & Robotics (Service & Security)",,,
"Focus: Literacy, Citizenship, and Peace",,,
,,,
BlueComp Dimension,Technical Skill (Existing),Sociological Concept / Theory (Szczecin Add),Blue Value & Justification
A.1 Ocean Literacy,VR/AR Experiences,"Concept: Blue Citizenship

Transforming tourists from ""consumers of views"" to ""citizens of the ocean.""","Value: Stewardship

Justification: Tourism is extractive unless it builds a ""Stewardship"" mindset. We teach how to use tech (VR) to build empathy with the ocean."
D.4 Governance,Civil-Military Synergy,"Theory: Trans-Oceanisation

Planetary governance where the ocean is a single, shared security space.","Value: Peace & Cooperation

Justification: Security is no longer just national; it is planetary (climate security). This requires a ""One Ocean"" diplomatic mindset."
B.3 Cybersecurity,Data Protection,"Concept: The Oceanic Turn (Sociology)

Understanding data not as numbers, but as the ""Voice of the Ocean.""","Value: Transparency

Justification: Who owns ocean data? Sociology ensures data is a public good (Open Science) rather than privatized knowledge."
