Term,Domain,Notes
on-shore power (OPS) / cold-ironing,Port Infrastructure,"Shore power, transformer noise, shore power for ships, noise impact, transformer hum"
green hydrogen (H2),Maritime Economy,"Electrolyser storage,  ozone smell, safety concerns"
LNG (transition fuel),Maritime Economy,"Compressor pulse,  methane odor, regasification debates, transition fuel"
offshore wind (jackets blades),Port Infrastructure,"Turbines, visiual impact, blade noise, assembly, skyline, visual impact, noise during construction"
smart grid / 5G port control,Technology,"AGV,  RTG automation, beeping, data layer of transition, 5G beeps, AGV vibration"
environmental justice,Policy & Strategy,Equitable distribution of benefits/burdens
community benefit agreements,Policy & Strategy,"Local compensation,  hiring commitments"
sensory walking research,Culture & Heritage,Embodied methodology 13 senses
NEPA process,Policy & Strategy,"Environmental review,  public participation, EU environmental framework, public hearing process"
FSRU (Floating Storage),Maritime Economy,"Floating LNG storage, compressor pulse, vapor plume"
electrolyser technology,Technology,"Hydrogen production, whirring sound, ozone emission"
methane slip,Environmental Impact,"Methane leakage, environmental concern, odor"
wind turbine generators (WTG),Port Infrastructure,"Wind turbines, blade tip height 873ft, visual/noise impact"
export cables,Port Infrastructure,"Underwater cables, electromagnetic fields, burial depth"
inter-array cables,Port Infrastructure,"Turbine connections, cable protection, marine impact"
transformer substations,Port Infrastructure,"Electrical conversion, transformer hum, visual footprint"
scour protection,Environmental Management,"Rock placement, marine habitat alteration, tactile change"
horizontal directional drilling (HDD),Technology,"Cable installation, minimal surface disturbance, vibration"
supply-chain urbanism,Policy & Strategy,"Flows shaping urban form, supply chain impacts"
environmental justice,Policy & Strategy,"Shared burdens/benefits, community consultation"
community benefit agreements,Policy & Strategy,"Community compensation, local hiring, benefit sharing"
maritime decarbonization,Policy & Strategy,"Port emissions reduction, green shipping corridors"
energy transition governance,Policy & Strategy,"Multi-stakeholder governance, power dynamics"
port-city nexus,Policy & Strategy,"Port-city integration, spatial conflicts, coexistence"
blue economy,Maritime Economy,"Ocean-based economy, sustainable marine resources"
just transition,Policy & Strategy,"Worker transition, skills retraining, employment security"
stakeholder engagement,Culture & Heritage,"Public participation, consultation fatigue, voice equity"
cumulative impact,Environmental Impact,"Multiple stressor effects, ecosystem cumulative pressure"
visual impact,Culture & Heritage,"Turbine visibility, horizon alteration, aesthetic values"
noise pollution,Environmental Impact,"Transformer noise, construction sounds, community disruption"
NEPA environmental review,Policy & Strategy,"Federal environmental review, public hearing process"
Section 401 water quality certification,Policy & Strategy,"Water quality standards, dredging permits, state authority"
coastal zone management,Policy & Strategy,"Coastal development regulation, beach preservation"
marine spatial planning,Policy & Strategy,"Ocean use coordination, conflict resolution, spatial planning"
public consultation process,Culture & Heritage,"Public participation requirements, comment periods"
permit authorization,Policy & Strategy,"Multiple permit requirements, regulatory coordination"
regulatory compliance,Policy & Strategy,"Legal compliance, environmental standards, monitoring"
sensory walking research,Culture & Heritage,"Embodied method, sensory experience, walking methodology"
phenomenological methodology,Culture & Heritage,"Lived experience focus, meaning-making processes"
posthuman urbanism,Culture & Heritage,"Beyond-human agency, hybrid networks, material-semiotic"
more-than-human assemblages,Culture & Heritage,"Non-human actants, assemblage thinking, relational ontology"
embodied experience,Culture & Heritage,"Bodily knowing, proprioceptive awareness, felt sense"
affective atmospheres,Culture & Heritage,"Emotional geographies, mood, ambient qualities"
